location,target_date,value
Alameda,2020-03,1.1933333333333334
Alameda,2020-04,1.0750097541943036
Alameda,2020-05,1.0702630457933973
Alameda,2020-06,1.1380492737635595
Alameda,2020-07,1.0901580773042616
Alameda,2020-08,0.9881153100775194
Alameda,2020-09,0.8878251015204458
Alameda,2020-10,1.0369350093607919
Alameda,2020-11,1.2392327069373772
Alameda,2020-12,1.1528985507246376
Alameda,2021-01,0.9072586268549973
Alameda,2021-02,0.7883443708609272
Alameda,2021-03,0.883462453454696
Alameda,2021-04,0.9687153598281417
Alameda,2021-05,0.8244665920878674
Alameda,2021-06,1.0654283191050926
Alameda,2021-07,1.2278709340754914
Alameda,2021-08,0.9873901535203811
Alameda,2021-09,0.8861097985575728
Alameda,2021-10,0.9309573711106799
Alameda,2021-11,0.9614285714285714
Alameda,2021-12,1.3219000077997038
Alameda,2022-01,1.0357863068648008
Alameda,2022-02,0.6910934505692706
Alameda,2022-03,0.8554872743093322
Alameda,2022-04,1.1560069874901386
Alameda,2022-05,1.102548068884802
Alameda,2022-06,1.0034601384626365
Alameda,2022-07,0.9724553101997896
Alameda,2022-08,0.8962193204348123
Alameda,2022-09,0.9191985588470777
Alameda,2022-10,0.9931221067010702
Alameda,2022-11,1.1220420034751077
Alameda,2022-12,1.020197738051806
Alameda,2023-01,0.8869654137713203
Alameda,2023-02,1.0275517063081696
Alameda,2023-03,0.9687534365504269
Alameda,2023-04,0.9818935276679842
Alameda,2023-05,0.9654225676453655
Alameda,2023-06,0.993538025234402
Alameda,2023-07,1.0651991388589883
Alameda,2023-08,1.0751311830227523
Alameda,2023-09,0.9391136865342165
Alameda,2023-10,0.9566884568108169
Alameda,2023-11,1.0125696562944886
Alameda,2023-12,1.0851922344880092
Alameda,2024-05,1.10281179138322
Alameda,2024-06,1.0786854460093895
Alameda,2024-07,1.0434682658670664
Alameda,2024-08,0.9370629722921914
Alameda,2024-09,0.8660756634669677
Alameda,2024-10,0.9223069207622868
Alameda,2024-11,0.9583412322274882
Alpine,2020-04,0.557936507936508
Alpine,2020-05,0.9528727272727273
Alpine,2020-06,1.1300392079984316
Alpine,2020-07,1.1192491759247956
Alpine,2020-08,0.9624759974397269
Alpine,2020-09,1.0006138032305434
Alpine,2020-10,1.2080168022164626
Alpine,2020-11,1.1408469415997786
Alpine,2020-12,1.0437020763332472
Alpine,2021-01,0.9634000620732464
Alpine,2021-02,0.8664440953129092
Alpine,2021-03,0.7735609348914858
Alpine,2021-04,0.8186406196799455
Alpine,2021-05,0.7519520325203253
Alpine,2021-06,0.9526004885631801
Alpine,2021-07,1.3640685015290521
Alpine,2021-08,1.097900880823517
Alpine,2021-09,0.9221131782945736
Alpine,2021-10,0.881400752378845
Alpine,2021-11,0.8919960079840319
Alpine,2021-12,1.1310301003344483
Alpine,2022-01,1.305263852242744
Alpine,2022-02,0.6365714285714286
Alpine,2022-05,0.6416739912105474
Alpine,2022-06,0.7453838383838384
Alpine,2022-07,0.587613326051338
Alpine,2022-08,0.796997713995428
Alpine,2022-09,0.4789384719405004
Alpine,2022-10,0.603547731888964
Alpine,2022-11,0.9856392622694592
Alpine,2022-12,0.8871619047619047
Alpine,2023-01,0.8427914893617021
Alpine,2023-02,0.8331602708803612
Alpine,2023-03,0.8302446225221426
Alpine,2023-04,0.8245714285714285
Alpine,2023-05,0.8380996131528046
Alpine,2023-06,0.8415326035221323
Alpine,2023-07,0.8300865051903115
Alpine,2023-08,0.849516393442623
Alpine,2023-09,0.9654858657243817
Alpine,2023-10,1.0711787072243346
Alpine,2023-11,1.0693596059113302
Alpine,2023-12,1.0375051124744377
Alpine,2024-06,0.6202173913043477
Amador,2020-04,0.4828571428571429
Amador,2020-05,1.0433360995850622
Amador,2020-06,1.398600422832981
Amador,2020-07,1.281577731958763
Amador,2020-08,0.8634221846132148
Amador,2020-09,0.9151634365056407
Amador,2020-10,1.2033780857514074
Amador,2020-11,1.39312496108586
Amador,2020-12,1.074603005435362
Amador,2021-01,0.8794591055600323
Amador,2021-02,0.77615341856587
Amador,2021-03,0.8294835145036333
Amador,2021-04,0.8372770651298258
Amador,2021-05,0.8772520998600094
Amador,2021-06,1.0369758091993186
Amador,2021-07,1.3318750398469874
Amador,2021-08,1.0297441466257018
Amador,2021-09,0.9594018586665004
Amador,2021-10,0.9081571869054649
Amador,2021-11,0.905449713478947
Amador,2021-12,1.101956300813008
Amador,2022-01,1.179723926380368
Amador,2022-02,0.6843610258658482
Amador,2022-03,0.6581616570978273
Amador,2022-04,1.1672588274117257
Amador,2022-05,1.1526308964175718
Amador,2022-06,1.0616653832691634
Amador,2022-07,0.9470023665527215
Amador,2022-08,0.9227778553476683
Amador,2022-09,0.8788328507078507
Amador,2022-10,0.9294411654837504
Amador,2022-11,1.0895629216779115
Amador,2022-12,1.0245622019939316
Amador,2023-01,0.8987063441204742
Amador,2023-02,0.918756040809021
Amador,2023-03,0.9634046104928458
Amador,2023-04,0.975924597481269
Amador,2023-05,0.9547536965288211
Amador,2023-06,0.9529622547389425
Amador,2023-07,1.154847635475061
Amador,2023-08,1.1805762451124926
Amador,2023-09,1.0433174911305978
Amador,2023-10,1.0420277247330079
Amador,2023-11,1.0396752265861027
Amador,2023-12,1.1310090984284533
Amador,2024-05,1.4217241379310344
Amador,2024-06,1.2736315789473684
Amador,2024-07,1.120996835443038
Amador,2024-08,1.0328055555555555
Amador,2024-09,0.9318296529968454
Amador,2024-10,0.9009497206703911
Amador,2024-11,1.2691044776119402
Butte,2020-04,1.0670795454545454
Butte,2020-05,1.1831257581884351
